#x	R
2	0.6
4	0.7
6	0.7
8	0.8
10	0.8
12	0.9
14	0.9
16	0.9
18	0.9
20	1.0
22	1.1
24	1.1
26	1.1
28	1.2
30	1.2
32	1.2
34	1.2
36	1.3
38	1.3
40	1.4
42	1.5
44	1.5
46	1.5
48	1.6
50	1.6
52	1.6
54	1.6
56	1.7
58	1.7
60	1.7
62	1.8
64	1.8
66	1.9
68	1.9
70	1.9
72	2.0
74	2.0
76	2.0
78	2.1
80	2.1
82	2.1
84	2.1
86	2.2
88	2.2
90	2.2
92	2.3
94	2.4
96	2.4
98	2.4
100	2.5

